,YKR_ID,zipcode
345,5816157,01450
346,5816158,01450
347,5816159,01450
348,5816160,01450
349,5816161,01450
350,5816162,01450
351,5816163,01450
352,5816164,01450
353,5816165,01450
354,5816166,01450
355,5816167,01450
356,5817963,02980
357,5817964,02980
358,5817965,02980
359,5817966,99999
360,5817967,02980
361,5817968,02980
362,5817969,02980
363,5817970,02980
364,5817971,02980
365,5817972,02970
366,5817973,02970
367,5817974,02970
368,5817975,02970
369,5817976,02970
370,5817977,02970
371,5817997,01750
372,5817998,01750
373,5817999,01750
374,5818000,01750
375,5818001,01750
376,5818002,01750
377,5818003,01750
378,5818004,01750
379,5818005,01750
380,5818006,01750
381,5818007,01750
382,5818008,01760
383,5818009,01760
384,5818010,01760
385,5818011,01760
386,5818012,01760
387,5818013,01760
388,5818014,01760
389,5818015,01760
390,5818016,01760
391,5818017,01760
392,5818018,01760
393,5818019,01760
394,5818020,01760
395,5818021,01760
396,5818022,01760
397,5818023,01760
398,5818024,01760
399,5818025,01760
400,5818026,01760
401,5818027,01760
402,5818052,01450
403,5818053,01450
404,5818054,01450
405,5818055,01450
406,5818056,01450
407,5818057,01450
408,5818058,01450
409,5818059,01450
410,5818060,01450
411,5818061,01450
412,5818062,01450
413,5818063,01450
414,5818064,01450
415,5818065,01450
416,5818066,01450
417,5818067,01450
418,5818068,01450
419,5818069,01450
420,5818070,01450
421,5818071,01450
422,5818072,01450
423,5819860,02980
424,5819861,02980
425,5819862,02980
426,5819863,99999
427,5819864,02980
428,5819865,02980
429,5819866,02980
430,5819867,02980
431,5819868,02980
432,5819869,02980
433,5819870,02970
434,5819871,02970
435,5819872,02970
436,5819873,02970
437,5819874,02970
438,5819875,02970
439,5819876,02970
440,5819893,99999
441,5819894,01750
442,5819895,01750
443,5819896,01750
444,5819897,01750
445,5819898,01750
446,5819899,01750
447,5819900,01750
448,5819901,01750
449,5819902,01750
450,5819903,01750
451,5819904,01750
452,5819905,01760
453,5819906,01760
454,5819907,01760
455,5819908,01760
456,5819909,01760
457,5819910,01760
458,5819911,01760
459,5819912,01760
460,5819913,01760
461,5819914,01760
462,5819915,01760
463,5819916,01760
464,5819917,01760
465,5819918,01760
466,5819919,01760
467,5819920,01760
468,5819921,01760
469,5819922,01760
470,5819923,01760
471,5819924,01760
472,5819949,01450
473,5819950,01450
474,5819951,01450
475,5819952,01450
476,5819953,01450
477,5819954,01450
478,5819955,01450
479,5819956,01450
480,5819957,01450
481,5819958,01450
482,5819959,01450
483,5819960,01450
484,5819961,01450
485,5819962,01450
486,5819963,01450
487,5819964,01450
488,5819965,01450
489,5819966,01450
490,5819967,01450
491,5819968,01450
492,5819969,01450
493,5821755,02980
494,5821756,02980
495,5821757,02980
496,5821758,02980
497,5821759,99999
498,5821760,02980
499,5821761,02980
500,5821762,02980
501,5821763,02980
502,5821764,02980
503,5821765,02980
504,5821766,02980
505,5821767,02980
506,5821768,02980
507,5821769,02970
508,5821770,02970
509,5821771,02970
510,5821772,02970
511,5821773,02970
512,5821788,99999
513,5821789,01750
514,5821790,01750
515,5821791,01750
516,5821792,01750
517,5821793,01750
518,5821794,01750
519,5821795,01750
520,5821796,01750
521,5821797,01750
522,5821798,01750
523,5821799,01750
524,5821800,01750
525,5821801,01760
526,5821802,01760
527,5821803,01760
528,5821804,01760
529,5821805,01760
530,5821806,01760
531,5821807,01760
532,5821808,01760
533,5821809,01760
534,5821810,01760
535,5821811,01760
536,5821812,01760
537,5821813,01760
538,5821814,01760
539,5821815,01760
540,5821816,01760
541,5821817,01760
542,5821818,01760
543,5821819,01760
544,5821820,01760
545,5821821,01760
546,5821846,01450
547,5821847,01450
548,5821848,01450
549,5821849,01450
550,5821850,01450
551,5821851,01450
552,5821852,01450
553,5821853,01450
554,5821854,01450
555,5821855,01450
556,5821856,01450
557,5821857,01450
558,5821858,01450
559,5821859,01450
560,5821860,01450
561,5821861,01450
562,5821862,01450
563,5821863,01450
564,5821864,01450
565,5821865,01450
566,5821866,01450
567,5821867,99999
568,5823649,02980
569,5823650,02980
570,5823651,02980
571,5823652,02980
572,5823653,02980
573,5823654,02980
574,5823655,02980
575,5823656,02980
576,5823657,02980
577,5823658,02980
578,5823659,02980
579,5823660,02980
580,5823661,02980
581,5823662,02980
582,5823663,02980
583,5823664,02970
584,5823665,02970
585,5823666,02970
586,5823667,02970
587,5823668,02970
588,5823669,02970
589,5823681,99999
590,5823682,01750
591,5823683,01750
592,5823684,01750
593,5823685,01750
594,5823686,01750
595,5823687,01750
596,5823688,01750
597,5823689,01750
598,5823690,01750
599,5823691,01750
600,5823692,01750
601,5823693,01750
602,5823694,01750
603,5823695,01760
604,5823696,01760
605,5823697,01760
606,5823698,01760
607,5823699,01760
608,5823700,01760
609,5823701,01760
610,5823702,01760
611,5823703,01760
612,5823704,01760
613,5823705,01760
614,5823706,01760
615,5823707,01760
616,5823708,01760
617,5823709,01760
618,5823710,01760
619,5823711,01760
620,5823712,01760
621,5823713,01760
622,5823714,01760
623,5823715,01760
624,5823741,01450
625,5823742,01450
626,5823743,01450
627,5823744,01450
628,5823745,01450
629,5823746,01450
630,5823747,01450
631,5823748,01450
632,5823749,01450
633,5823750,01450
634,5823751,01450
635,5823752,01450
636,5823753,01450
637,5823754,01450
638,5823755,01450
639,5823756,01450
640,5823757,01450
641,5823758,01450
642,5823759,01450
643,5823760,01450
644,5823761,01450
645,5823762,99999
646,5823763,99999
647,5823764,99999
648,5823765,99999
649,5823766,99999
650,5823767,99999
651,5825540,02980
652,5825541,02980
653,5825542,02980
654,5825543,02980
655,5825544,02980
656,5825545,02980
657,5825546,02980
658,5825547,02980
659,5825548,02980
660,5825549,02980
661,5825550,02980
662,5825551,02980
663,5825552,02980
664,5825553,02980
665,5825554,02980
666,5825555,02980
667,5825556,02980
668,5825557,02970
669,5825558,02970
670,5825559,02970
671,5825560,02970
672,5825561,02970
673,5825562,02970
674,5825563,99999
675,5825573,01750
676,5825574,01750
677,5825575,01750
678,5825576,01750
679,5825577,01750
680,5825578,01750
681,5825579,01750
682,5825580,01750
683,5825581,01750
684,5825582,01750
685,5825583,01750
686,5825584,01750
687,5825585,01750
688,5825586,01750
689,5825587,01760
690,5825588,01760
691,5825589,01760
692,5825590,01760
693,5825591,01760
694,5825592,01760
695,5825593,01760
696,5825594,01760
697,5825595,01760
698,5825596,01760
699,5825597,01760
700,5825598,01760
701,5825599,01760
702,5825600,01760
703,5825601,01760
704,5825602,01760
705,5825603,01760
706,5825604,01760
707,5825605,01760
708,5825606,01760
709,5825607,01760
710,5825608,01760
711,5825633,01450
